Source,Page,Type,Label/Title,Content
_Sector Statistics Report Q3 2025-2026.pdf,17,Chart,during the review period is as shown in Figure 11.,"1.12 Tariffs, Promotions and Special Offers  | The number of approved applications for tariffs, and promotions & special offers filed by the operators  | during the review period is as shown in Figure 11.  |"
_Sector Statistics Report Q3 2025-2026.pdf,18,Chart,"Figure 11: Distribution of Tariffs, Promotions and Special Offer","| Source: CA  | Figure 11: Distribution of Tariffs, Promotions and Special Offer  |   | 1.13 Average Pay-As-You-Go (PAYG) Tariffs  | The average PAYG voice rates declined from 3.47 to 3.22, SMS rates dropped to 1.16, while data rates  | remained at 4.65 as shown in Table 7.  |   | Table 7: Average Pay-As-You-Go (PAYG) Tariffs  | Operator/Market  | Average Voice  | (KSh. /Min)"
_Sector Statistics Report Q3 2025-2026.pdf,19,Chart,Figure 12 presents the 12-month trend in fixed telephone subscriptions. Between March 2025 and March,"2.1 Fixed Telephone Subscriptions  |   | Figure 12 presents the 12-month trend in fixed telephone subscriptions. Between March 2025 and March  | 2026, fixed wireless telephone subscriptions increased from 1,607 to 1,665, while managed Voice over  | Internet Protocol telephone subscriptions grew from 47,217 to 47,884. In contrast, fixed line subscriptions  | declined from 6,567 to 6,092 over the same period.  |   |   |   | Source: CA, Operators’ Returns  | Figure 12: Fixed Voice Subscriptions  |"
_Sector Statistics Report Q3 2025-2026.pdf,19,Chart,Figure 12: Fixed Voice Subscriptions,"| Source: CA, Operators’ Returns  | Figure 12: Fixed Voice Subscriptions  |    | 2.2  Domestic Fixed Voice Traffic    | As shown in Table 8, both fixed wireless-to-fixed wireless and fixed-to-mobile voice traffic increased by  | 4.9 and 53.2 per cent respectively. However, fixed-to-fixed voice traffic declined by 7.4 percent, which may  | be attributed to the decline in fixed line subscriptions.    |   | Table 8: Domestic Fixed Voice Traffic (Minutes)  | Domestic Fixed Voice Traffic (Minutes)  | Jan-Mar 26"
Sector Statistics Report Q2 2025-2026.pdf,3,Chart,Figure 1: Mobile Subscriptions and Penetration ............................................................................. 1,| LIST OF FIGURES  | Figure 1: Mobile Subscriptions and Penetration ............................................................................. 1  | Figure 2: Mobile Subscription per Operator ................................................................................... 2  | Figure 3:Mobile Money Services.................................................................................................... 3  | Figure 4: Mobile Data Subscriptions .............................................................................................. 4  | Figure 5: Mobile Broadband Consumption .................................................................................... 4  | Figure 6: Mobile Broadband Consumption per Broadband Subscription ...................................... 5  | Figure 7: Mobile Market Shares ..................................................................................................... 5  | Figure 8: Mobile Phone Devices..................................................................................................... 6  | Figure 9: Market Shares in Domestic Mobile Voice and SMS ...................................................... 7  | Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8
Sector Statistics Report Q2 2025-2026.pdf,3,Chart,Figure 2: Mobile Subscription per Operator ................................................................................... 2,"LIST OF FIGURES  | Figure 1: Mobile Subscriptions and Penetration ............................................................................. 1  | Figure 2: Mobile Subscription per Operator ................................................................................... 2  | Figure 3:Mobile Money Services.................................................................................................... 3  | Figure 4: Mobile Data Subscriptions .............................................................................................. 4  | Figure 5: Mobile Broadband Consumption .................................................................................... 4  | Figure 6: Mobile Broadband Consumption per Broadband Subscription ...................................... 5  | Figure 7: Mobile Market Shares ..................................................................................................... 5  | Figure 8: Mobile Phone Devices..................................................................................................... 6  | Figure 9: Market Shares in Domestic Mobile Voice and SMS ...................................................... 7  | Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8  | Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10"
Sector Statistics Report Q2 2025-2026.pdf,3,Chart,Figure 3:Mobile Money Services.................................................................................................... 3,"Figure 1: Mobile Subscriptions and Penetration ............................................................................. 1  | Figure 2: Mobile Subscription per Operator ................................................................................... 2  | Figure 3:Mobile Money Services.................................................................................................... 3  | Figure 4: Mobile Data Subscriptions .............................................................................................. 4  | Figure 5: Mobile Broadband Consumption .................................................................................... 4  | Figure 6: Mobile Broadband Consumption per Broadband Subscription ...................................... 5  | Figure 7: Mobile Market Shares ..................................................................................................... 5  | Figure 8: Mobile Phone Devices..................................................................................................... 6  | Figure 9: Market Shares in Domestic Mobile Voice and SMS ...................................................... 7  | Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8  | Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10  | Figure 12: Fixed Voice Subscriptions .......................................................................................... 11"
Sector Statistics Report Q2 2025-2026.pdf,3,Chart,Figure 4: Mobile Data Subscriptions .............................................................................................. 4,"Figure 2: Mobile Subscription per Operator ................................................................................... 2  | Figure 3:Mobile Money Services.................................................................................................... 3  | Figure 4: Mobile Data Subscriptions .............................................................................................. 4  | Figure 5: Mobile Broadband Consumption .................................................................................... 4  | Figure 6: Mobile Broadband Consumption per Broadband Subscription ...................................... 5  | Figure 7: Mobile Market Shares ..................................................................................................... 5  | Figure 8: Mobile Phone Devices..................................................................................................... 6  | Figure 9: Market Shares in Domestic Mobile Voice and SMS ...................................................... 7  | Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8  | Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10  | Figure 12: Fixed Voice Subscriptions .......................................................................................... 11  |"
Sector Statistics Report Q2 2025-2026.pdf,3,Chart,Figure 5: Mobile Broadband Consumption .................................................................................... 4,"Figure 3:Mobile Money Services.................................................................................................... 3  | Figure 4: Mobile Data Subscriptions .............................................................................................. 4  | Figure 5: Mobile Broadband Consumption .................................................................................... 4  | Figure 6: Mobile Broadband Consumption per Broadband Subscription ...................................... 5  | Figure 7: Mobile Market Shares ..................................................................................................... 5  | Figure 8: Mobile Phone Devices..................................................................................................... 6  | Figure 9: Market Shares in Domestic Mobile Voice and SMS ...................................................... 7  | Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8  | Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10  | Figure 12: Fixed Voice Subscriptions .......................................................................................... 11  |   |"
Sector Statistics Report Q2 2025-2026.pdf,3,Chart,Figure 6: Mobile Broadband Consumption per Broadband Subscription ...................................... 5,"Figure 4: Mobile Data Subscriptions .............................................................................................. 4  | Figure 5: Mobile Broadband Consumption .................................................................................... 4  | Figure 6: Mobile Broadband Consumption per Broadband Subscription ...................................... 5  | Figure 7: Mobile Market Shares ..................................................................................................... 5  | Figure 8: Mobile Phone Devices..................................................................................................... 6  | Figure 9: Market Shares in Domestic Mobile Voice and SMS ...................................................... 7  | Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8  | Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10  | Figure 12: Fixed Voice Subscriptions .......................................................................................... 11  |   |   |"
